Sheet,Serial Number,"Assignments contributed to my learning (ex:research papers, homework, etc.)","Activities contributed to my learning (ex:group work, discussion, presentations, field work/trips, etc.)","The instructor provided feedback that supported my learning ","The instructor offered timely responses to questions and concerns ","The instructor encouraged communication among class members","The instructor communicated concepts clearly ","Course requirements, procedures, and expectations are clearly stated in the syllabus ","The grading criteria for this course were clearly defined","The grading criteria for this course were clearly applied ","What expectations did you have going into this course?","What contributed most to your learning in this course?","What grade did you expect to get in this course?","What additional comments or feedback would you like to offer this instructor ",Source of dataset
1,00047,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
2,00048,2,2,3,3,2,3,2,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
3,00049,1,1,2,1,2,2,,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
4,00050,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
5,00051,2,2,2,2,3,2,2,3,3,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
6,00052,2,2,1,1,1,1,1,2,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
7,00054,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
8,00056,1,1,1,1,1,1,,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
9,00057,2,1,1,1,2,,1,,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
10,00058,2,2,2,2,2,2,2,1,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
11,00059,2,2,2,1,1,2,2,3,3,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
12,00060,2,1,3,1,2,3,2,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
13,00061,2,2,2,1,1,1,1,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
14,00062,1,2,3,1,3,1,1,1,3,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
15,00063,1,3,2,1,2,2,1,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
16,00064,2,2,3,2,2,2,2,2,3,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
17,00065,2,2,2,1,2,2,2,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
18,00066,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
19,00075,3,2,2,1,3,2,1,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
20,00076,2,2,3,4,2,2,2,2,5,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
21,00078,1,1,3,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
22,00079,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
23,00092,1,1,2,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
